,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9
1992.8461538461538,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0
1992.923076923077,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1993.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993.076923076923,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1993.1538461538462,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1993.2307692307693,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1993.3076923076924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1993.3846153846155,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1993.4615384615386,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1993.5384615384614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993.6153846153845,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1993.6923076923076,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1993.7692307692307,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993.8461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
1993.923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1994.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
1994.076923076923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1994.1538461538462,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1994.2307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1994.3076923076924,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1994.3846153846155,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1994.4615384615386,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
1994.5384615384614,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994.6153846153845,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994.6923076923076,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
1994.7692307692307,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
1994.8461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994.923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995.076923076923,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1995.1538461538462,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
