,folder,rn,N_i,N_f,N_rs,N_rd,v_i,v_f,v_rs,v_rd,R0_i,R0_f,R0_rs,R0_rd,eta_i,eta_f,eta_rs,eta_rd,rp_i,rp_f,rp_rs,rp_rd,ts,force,T,runs,rho,gamma,sa,rdis,seed,R0_ramp,bb_a,bb_v,ou_d,ou_v,ou_l,ou_u
1659,./data/backup-01-11-5,data_1659,3122513.3838304775,3122513.3838304775,10,10,0.0,0.0,10,10,0.7922409561251782,1.0,10,10.0,0.07414993635639198,0.07414993635639198,10,10.0,0.16089480525710786,0.16089480525710786,10,10,7,none,20,1,0.0769,0.1667,0.3,100,525661,bb,0.28482945267983506,1e-05,0.01,1e-05,0,1
1660,./data/backup-01-11-5,data_1660,380915.55521404376,380915.55521404376,10,10,0.0,0.0,10,10,0.5969990348276442,1.0,10,10.0,0.14301406807500783,0.14301406807500783,10,10.0,0.2735812394987394,0.2735812394987394,10,10,7,none,20,1,0.0769,0.1667,0.3,100,898292,bb,0.6396144296722613,1e-05,0.01,1e-05,0,1
1661,./data/backup-01-11-5,data_1661,3434243.8021074277,3434243.8021074277,10,10,0.0,0.0,10,10,0.3830222561738049,1.0,10,10.0,0.04024290940299738,0.04024290940299738,10,10.0,0.1465779848382584,0.1465779848382584,10,10,7,none,20,1,0.0769,0.1667,0.3,100,15621,bb,0.9957552003078602,1e-05,0.01,1e-05,0,1
1662,./data/backup-01-11-5,data_1662,330103.4726601529,330103.4726601529,10,10,0.0,0.0,10,10,0.8662667915696821,1.0,10,10.0,0.053033160309349035,0.053033160309349035,10,10.0,0.36034892927521717,0.36034892927521717,10,10,7,none,20,1,0.0769,0.1667,0.3,100,651609,bb,0.6545369527624636,1e-05,0.01,1e-05,0,1
1663,./data/backup-01-11-5,data_1663,1638813.162151338,1638813.162151338,10,10,0.0,0.0,10,10,0.6257083659453329,1.0,10,10.0,0.06285616849756838,0.06285616849756838,10,10.0,0.04343573548929755,0.04343573548929755,10,10,7,none,20,1,0.0769,0.1667,0.3,100,504704,bb,2.9743475130218036,1e-05,0.01,1e-05,0,1
1664,./data/backup-01-11-5,data_1664,3446192.4106921963,3446192.4106921963,10,10,0.0,0.0,10,10,0.39818124494319596,1.0,10,10.0,0.06592313776793221,0.06592313776793221,10,10.0,0.38128352203916804,0.38128352203916804,10,10,7,none,20,1,0.0769,0.1667,0.3,100,548685,bb,0.6094414977694531,1e-05,0.01,1e-05,0,1
1665,./data/backup-01-11-5,data_1665,2439286.463992708,2439286.463992708,10,10,0.0,0.0,10,10,0.8428051095692641,1.0,10,10.0,0.8680062789429436,0.8680062789429436,10,10.0,0.458275245771222,0.458275245771222,10,10,7,none,20,1,0.0769,0.1667,0.3,100,653149,bb,4.133398081740409,1e-05,0.01,1e-05,0,1
1666,./data/backup-01-11-5,data_1666,2247558.7138631577,2247558.7138631577,10,10,0.0,0.0,10,10,0.2873332328095466,1.0,10,10.0,0.06873648305053202,0.06873648305053202,10,10.0,0.4842148722253392,0.4842148722253392,10,10,7,none,20,1,0.0769,0.1667,0.3,100,374978,bb,1.3273015577834029,1e-05,0.01,1e-05,0,1
1667,./data/backup-01-11-5,data_1667,230635.6954657777,230635.6954657777,10,10,0.0,0.0,10,10,0.38641757701086676,1.0,10,10.0,0.049639319379124094,0.049639319379124094,10,10.0,0.4059441791541294,0.4059441791541294,10,10,7,none,20,1,0.0769,0.1667,0.3,100,259398,bb,0.9026230447530035,1e-05,0.01,1e-05,0,1
1668,./data/backup-01-11-5,data_1668,253277.89466858396,253277.89466858396,10,10,0.0,0.0,10,10,0.4628712313680481,1.0,10,10.0,0.05907508948083134,0.05907508948083134,10,10.0,0.29415049452753106,0.29415049452753106,10,10,7,none,20,1,0.0769,0.1667,0.3,100,887749,bb,4.483096046522266,1e-05,0.01,1e-05,0,1
1669,./data/backup-01-11-5,data_1669,4823022.897606273,4823022.897606273,10,10,0.0,0.0,10,10,0.35499509475648194,1.0,10,10.0,0.13421545117949898,0.13421545117949898,10,10.0,0.09143077630723802,0.09143077630723802,10,10,7,none,20,1,0.0769,0.1667,0.3,100,403898,bb,0.9117611149991942,1e-05,0.01,1e-05,0,1
